Fuel, O2, Ar, Equivalence Ratio, Compressed Temperature (K), Compressed Pressure (bar), Ignition Delay (ms), Ignition Delay Error (ms)
0.8, 20.84, 78.36, 0.25, 966, 15, 117.4, 3.6
0.8, 20.84, 78.36, 0.25, 974, 15, 53, 1.35
0.8, 20.84, 78.36, 0.25, 1007, 15, 22.2, 1.51
0.8, 20.84, 78.36, 0.25, 1031, 15, 11.2, 0.47
0.8, 20.84, 78.36, 0.25, 1093, 15, 3.2, 0.07
0.8, 20.84, 78.36, 0.25, 1112, 15, 1.8, 0.13
0.8, 20.84, 78.36, 0.25, 900, 30, 83.2, 3.97
0.8, 20.84, 78.36, 0.25, 909, 30, 48.8, 1.46
0.8, 20.84, 78.36, 0.25, 926, 30, 38.9, 0.5
0.8, 20.84, 78.36, 0.25, 938, 30, 27.2, 1.04
0.8, 20.84, 78.36, 0.25, 959, 30, 14.5, 0.82
0.8, 20.84, 78.36, 0.25, 986, 30, 7.5, 0.23
0.8, 20.84, 78.36, 0.25, 1016, 30, 4, 0.14
0.8, 20.84, 78.36, 0.25, 1053, 30, 1.5, 0.13
0.8, 20.84, 78.36, 0.25, 917, 45, 27.3, 0.55
0.8, 20.84, 78.36, 0.25, 932, 45, 17.8, 0.6
0.8, 20.84, 78.36, 0.25, 947, 45, 12.5, 0.63
0.8, 20.84, 78.36, 0.25, 956, 45, 7.5, 0.49
0.8, 20.84, 78.36, 0.25, 983, 45, 4.1, 0.33
0.8, 20.84, 78.36, 0.25, 1008, 45, 2.1, 0.99
0.8, 20.84, 78.36, 0.25, 883, 75, 34.5, 1.71
0.8, 20.84, 78.36, 0.25, 912, 75, 15.8, 0.47
0.8, 20.84, 78.36, 0.25, 923, 75, 12.1, 0.95
0.8, 20.84, 78.36, 0.25, 936, 75, 6.8, 0.3
0.8, 20.84, 78.36, 0.25, 950, 75, 5.3, 0.76
0.8, 20.84, 78.36, 0.25, 969, 75, 4, 0.35
1.59, 20.67, 77.74, 0.5, 938, 15, 63.5, 2.25
1.59, 20.67, 77.74, 0.5, 958, 15, 28.1, 1.47
1.59, 20.67, 77.74, 0.5, 972, 15, 16.2, 0.59
1.59, 20.67, 77.74, 0.5, 995, 15, 10.4, 0.84
1.59, 20.67, 77.74, 0.5, 1019, 15, 7.2, 0.52
1.59, 20.67, 77.74, 0.5, 872, 30, 64.3, 1.76
1.59, 20.67, 77.74, 0.5, 883, 30, 46.6, 1.76
1.59, 20.67, 77.74, 0.5, 891, 30, 34.8, 1.16
1.59, 20.67, 77.74, 0.5, 904, 30, 23.4, 0.85
1.59, 20.67, 77.74, 0.5, 915, 30, 15.2, 0.68
1.59, 20.67, 77.74, 0.5, 928, 30, 12.2, 0.83
1.59, 20.67, 77.74, 0.5, 940, 30, 9.8, 0.61
1.59, 20.67, 77.74, 0.5, 950, 30, 7.4, 0.32
1.59, 20.67, 77.74, 0.5, 965, 30, 5.5, 0.37
1.59, 20.67, 77.74, 0.5, 1001, 30, 2.4, 0.28
3.13, 20.35, 76.52, 1, 881, 15, 76.4, 1.2
3.13, 20.35, 76.52, 1, 896, 15, 41.8, 0.88
3.13, 20.35, 76.52, 1, 927, 15, 27.9, 2.07
3.13, 20.35, 76.52, 1, 937, 15, 17.5, 0.85
3.13, 20.35, 76.52, 1, 954, 15, 10.8, 0.75
3.13, 20.35, 76.52, 1, 975, 15, 4.9, 0.43
3.13, 20.35, 76.52, 1, 990, 15, 3.9, 0.62
3.13, 20.35, 76.52, 1, 833, 30, 57.7, 2.32
3.13, 20.35, 76.52, 1, 847, 30, 37.4, 1.13
3.13, 20.35, 76.52, 1, 861, 30, 21.6, 0.61
3.13, 20.35, 76.52, 1, 871, 30, 12.6, 1.06
3.13, 20.35, 76.52, 1, 881, 30, 10, 0.66
3.13, 20.35, 76.52, 1, 896, 30, 5.7, 0.47
3.13, 20.35, 76.52, 1, 908, 30, 4.4, 0.46
