,1000/Tc (1/K),Compressed Pressure (bar),Compressed Temperature (K),Compression Time (ms),Equivalence Ratio,First Stage Delay (ms),First Stage Error (ms),Ignition Delay (ms),Ignition Delay Error (ms),Initial Pressure (bar),Initial Temperature (K),Simulated First Stage (ms),Simulated Overall Delay (ms),X Ar,X MV,X N2,X O2
52,1.4651,30.08,683.0,33.0,1.0,0.0,0.0,18.48,1.04,2.4269,353.0,24.299862886189814,24.48596393886043,0.3849,0.0256,0.3848,0.2047
53,1.4284,30.0,700.0,33.0,1.0,0.0,0.0,13.66,0.32,2.1848,353.0,14.099711146053835,14.346273950480843,0.3849,0.0256,0.3848,0.2047
54,1.3973,30.02,716.0,38.0,1.0,0.0,0.0,9.98,0.6,2.2098,363.0,7.09983347466266,7.478704975184115,0.3849,0.0256,0.3848,0.2047
55,1.3631,29.99,734.0,35.0,1.0,5.14,0.26,11.2,0.96,1.8013,353.0,4.500262477012818,4.809592651548293,0.3849,0.0256,0.3848,0.2047
56,1.3211,30.05,757.0,33.0,1.0,3.68,0.52,12.0,0.7,1.5863,353.0,1.9000185074131082,1.9680222101072218,0.3849,0.0256,0.3848,0.2047
57,1.2903,30.01,775.0,34.0,1.0,0.0,0.0,12.14,1.96,1.4365,353.0,,,0.3849,0.0256,0.3848,0.2047
58,1.2526,30.0,798.0,34.0,1.0,0.0,0.0,17.32,0.66,1.2688,353.0,,,0.3849,0.0256,0.3848,0.2047
59,1.2249,30.08,816.0,33.0,1.0,0.0,0.0,11.78,0.66,1.1578,353.0,,,0.3849,0.0256,0.3848,0.2047
60,1.1853,29.96,844.0,35.0,1.0,0.0,0.0,7.18,0.1,1.0038,353.0,,,0.3849,0.0256,0.3848,0.2047
61,1.1472,30.07,872.0,35.0,1.0,0.0,0.0,5.06,0.18,1.0195,368.0,,,0.3849,0.0256,0.3848,0.2047
